,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Citation,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[33],Weisenberger et al.,1987,Actuation,Enabling,N/A,Vibration (Actuation),N/A,N/A,1,Fine,Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,N/A,N/A,"In the population of hearing-impaired persons in the United States and other countries are a substantial number who do not receive satisfactory benefit from conventional acoustic amplification.  For these persons, some auditory functions can be  taken over to some degree by a substitute sensory modality (i.e., vision or touch).; The studies described above suggest that the tactile system can be a usef~~pfrocessor of acoustic information. In the present study, the design and preliminary evaluation of a vibrotactile aid designed to fill some of these basic auditory function\ are described.",,"Accessibility, Health",N/A,"A binaural earmold sound-to-tactile aid was constructed by inserting a vibrating element into a Lucite earmold. The earmold could be vibrated at either 80 Hz (when incoming acoustic signals were below 2000 I-Ir), at 300 Hz (when incoming acoustic signals were above 2000 Hz), or both (when incoming acoustic signals were broadband). Subjects were fitted with one of these bimodal vibrating earmolds in each ear. Normal-hearing and hearing-impaired subjects were tested in three tasks: sound localization, errvironmental sound identification, and syllable rhythm and stress. The device provided some benefit to performance, although the amounts of improvement varied across tasks and subjects. Possible modifications in device design, and potential combinations of auditory and tactile input via earmold systems, are discussed.",1,,https://books.google.de/books?hl=de&lr=&id=VxxqiKVFM1sC&oi=fnd&pg=PA51&dq=Development+and+preliminary+evaluation+of+an+earmold+sound-to-tactile+aid++for+the+hearing-impaired&ots=vpNdh7d4NX&sig=SpPe8laxSWuV6u8qdxH05Js6s20,DONE,,,,,,,,,,,,,,,,
[714],Brewster et al.,2003,Head Gestures and Pointing,In,Head,"Roll, Pitch","Accelerometer, Gyroscope, Magnetometer",Yes,1,Coarse,Yes,Yes,No,No,Medium,High,N/A,N/A,No,Yes (N=18),No,No,No,No,No,Sitting,Lab,Custom Device,Commercial,Yes,No,"Mobile and wearable computers present input/output problems due to limited screen space and interaction techniques. When mobile, users typically focus their visual attention on navigating their environment - making visually demanding interface designs hard to operate. This paper presents two multimodal interaction techniques designed to overcome these problems and allow truly mobile, ‘eyes-free’ device use.; Mobile and wearable computers have been one of the major growth areas of computing in recent years. Compared to desktop systems these devices have restricted input and output capabilities that typically reduces their usability. With often very limited amounts of screen space, their visual displays can easily become cluttered with information and widgets. Input is limited, with small keyboards or simple handwriting recognition the norm.; With the imminent dramatic increase in network bandwidth available to mobile and wearable devices, and the consequent rise in the number of possible services, new interaction techniques are needed to access services whilst on the move.; Our solution to input focuses on multi-dimensional gestural interaction.",,Device Input,"Gestural interaction, wearable computing","Mobile and wearable computers present input/output problems due to limited screen space and interaction techniques. When mobile, users typically focus their visual attention on navigating their environment - making visually demanding interface designs hard to operate. This paper presents two multimodal interaction techniques designed to overcome these problems and allow truly mobile, ‘eyes-free’ device use. The first is a 3D audio radial pie menu that uses head gestures for selecting items. An evaluation of a range of different audio designs showed that egocentric sounds reduced task completion time, perceived annoyance, and allowed users to walk closer to their preferred walking speed. The second is a sonically enhanced 2D gesture recognition system for use on a belt-mounted PDA. An evaluation of the system with and without audio feedback showed users’ gestures were more accurate when dynamically guided by audio-feedback. These novel interaction techniques demonstrate effective alternatives to visual-centric interface designs on mobile devices.",2,,https://dl.acm.org/doi/abs/10.1145/642611.642694,DONE,,,"Selection, Orientation, Path",2,coarse (4),relative,1,No,Yes,Coupled,Not Present,Not Indicated,Low (Derived),Not Indicated,Not Indicated,22%
[32],Metzger et al.,2004,"Hand Gestures and Location, Head Gestures and Pointing",In,"Hand, Head","Slide (Mid-Air), Hold (Mid-Air), Roll","Proximity Sensor, Accelerometer",Yes,7,"Coarse, Semantic",No,Yes,No,No,Low,Low,High (N=1),N/A,No,No,No,No,No,Yes (N=1),No,Sitting,Lab,Headphone,Research Prototype,Yes,No,"FreeDigiter uses hand gesture recognition to control mobile devices. In contrast to many existing gesture recognition systems, data analysis is simple, requiring the filtering of the binary output of a proximity sensor. This simplicity allows for small and inexpensive hardware with low power consumption and high wearability.",,"Music Player, Phone Calls, Accessibility, Device Control",N/A,"We present FreeDigiter, an interface for mobile devices which enables rapid entry of digits using finger gestures. FreeDigiter is an infrared proximity sensor with a dual axis accelerometer and requires little signal processing. Initial laboratory experiments attain accuracy rates of 99.0%; and the system is tolerant to highly varying lighting conditions. The FreeDigiter system requires little power and could be implemented in a very small form factor appropriate for controlling in–ear hearing aids, small MP3 players, and hands–free mobile phone headsets.",3,,https://ieeexplore.ieee.org/document/1364684,DONE,,,"Selection, Path, Quantification",2,coarse,relative,7,Yes,Yes,X,Not Present,Not Indicated,Low (Derived),Not Indicated,Present,32%
[40],Buil & Hollemans,2005,Ear and Earable,In,Hand,Press (Earable),Button,Yes,3,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,Yes,Yes,Assess the users accepted operating force for button pushes at the headphones,Improving Usability and Ergonomics,Music Player,N/A,"The touch headphones are a solution for providing playback and volume controls on in-ear type headphones.  One of the issues with placing controls on earpieces is that applied pressure is transferred to the inner ear,  which potentially creates discomfort. The experiment described in this short paper shows that conventional button switches  are not well accepted. Users preferred to operate a button on an earpiece with a force of around 85 grams.",4,,https://ieeexplore.ieee.org/abstract/document/1550805,DONE,,,"Selection, Position",X,X,X,3,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,41%
[84],Buil et al.,2005,Ear and Earable,In,"Hand, Wearable State","Tap (Earable), Hold (Earable), Remove Earbud, Attach Earbud",Capacitive Sensor,Yes,5,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Earbud,Research Prototype,Yes,No,Replace remote control in the headphone wire,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices","Music Player, Device Control","MP3, music playback, headphones, capacitive touch control, user system interaction, user interface","The Touch Headphones are meant for portable music players and aim to present an improvement to the conventional remote control in the headphone wire, and a solution for controls on wireless in-ear type headphones. Two capacitive touch sensors per earpiece sense when earpieces are being tapped on, and being put in or out.",5,,https://dl.acm.org/doi/abs/10.1145/1085777.1085877,DONE,,,Selection,X,X,X,5,Yes,No,Coupled,Partly Present,Not Indicated,Not Indicated,Not Indicated,Present,35%
[61],Manabe & Fukumoto,2006,Eye-Tracking,In,Gaze,,EOG,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,"Music Player, Device Control, AR/VR",,,6,,,,,,"Selection, Position",2,coarse (15),absolute,,Yes,No,,,,,,,
[623],Simpson et al.,2008,Mouth,In,Teeth,Click,Accelerometer,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Accessibility, Device Control",,,7,,,,,,Selection,X,X,relative,,Yes,No,,,,,,,
[184],Tamaki et al.,2009,Hand Gestures and Location,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
[612],Grübler & Suzuki,2010,Face,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
[624],Simpson et al.,2010,Mouth,In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
