,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[33],Weisenberger et al.,1987,Actuation,Enabling,N/A,Vibration (Actuation),N/A,N/A,1,Fine,Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,N/A,N/A,"In the population of hearing-impaired persons in the United States and other countries are a substantial number who do not receive satisfactory benefit from conventional acoustic amplification.  For these persons, some auditory functions can be  taken over to some degree by a substitute sensory modality (i.e., vision or touch).; The studies described above suggest that the tactile system can be a usef~~pfrocessor of acoustic information. In the present study, the design and preliminary evaluation of a vibrotactile aid designed to fill some of these basic auditory function\ are described.",,"Accessibility, Health",N/A,"A binaural earmold sound-to-tactile aid was constructed by inserting a vibrating element into a Lucite earmold. The earmold could be vibrated at either 80 Hz (when incoming acoustic signals were below 2000 I-Ir), at 300 Hz (when incoming acoustic signals were above 2000 Hz), or both (when incoming acoustic signals were broadband). Subjects were fitted with one of these bimodal vibrating earmolds in each ear. Normal-hearing and hearing-impaired subjects were tested in three tasks: sound localization, errvironmental sound identification, and syllable rhythm and stress. The device provided some benefit to performance, although the amounts of improvement varied across tasks and subjects. Possible modifications in device design, and potential combinations of auditory and tactile input via earmold systems, are discussed.",1,https://www.researchgate.net/publication/19575713_Development_and_preliminary_evaluation_of_an_earmold_sound-to-tactile_aid_for_the_hearing-impaired,DONE,,,,,,,,,,,,,,,,
[714],Brewster et al.,2003,Head Gestures and Pointing,In,Head,"Roll, Pitch","Accelerometer, Gyroscope, Magnetometer",Yes,1,Coarse,Yes,Yes,No,No,Medium,High,N/A,N/A,No,Yes (N=18),No,No,No,No,No,Sitting,Lab,Custom Device,Commercial,Yes,No,"Mobile and wearable computers present input/output problems due to limited screen space and interaction techniques. When mobile, users typically focus their visual attention on navigating their environment - making visually demanding interface designs hard to operate. This paper presents two multimodal interaction techniques designed to overcome these problems and allow truly mobile, ‘eyes-free’ device use.; Mobile and wearable computers have been one of the major growth areas of computing in recent years. Compared to desktop systems these devices have restricted input and output capabilities that typically reduces their usability. With often very limited amounts of screen space, their visual displays can easily become cluttered with information and widgets. Input is limited, with small keyboards or simple handwriting recognition the norm.; With the imminent dramatic increase in network bandwidth available to mobile and wearable devices, and the consequent rise in the number of possible services, new interaction techniques are needed to access services whilst on the move.; Our solution to input focuses on multi-dimensional gestural interaction.",,Device Input,"Gestural interaction, wearable computing","Mobile and wearable computers present input/output problems due to limited screen space and interaction techniques. When mobile, users typically focus their visual attention on navigating their environment - making visually demanding interface designs hard to operate. This paper presents two multimodal interaction techniques designed to overcome these problems and allow truly mobile, ‘eyes-free’ device use. The first is a 3D audio radial pie menu that uses head gestures for selecting items. An evaluation of a range of different audio designs showed that egocentric sounds reduced task completion time, perceived annoyance, and allowed users to walk closer to their preferred walking speed. The second is a sonically enhanced 2D gesture recognition system for use on a belt-mounted PDA. An evaluation of the system with and without audio feedback showed users’ gestures were more accurate when dynamically guided by audio-feedback. These novel interaction techniques demonstrate effective alternatives to visual-centric interface designs on mobile devices.",2,https://dl.acm.org/doi/abs/10.1145/642611.642694,DONE,,,"Selection, Orientation, Path",2,coarse (4),relative,1,No,Yes,Coupled,Not Present,Not Indicated,Low (Derived),Not Indicated,Not Indicated,22%
[32],Metzger et al.,2004,"Hand Gestures and Location, Head Gestures and Pointing",In,"Hand, Head","Slide (Mid-Air), Hold (Mid-Air), Roll","Proximity Sensor, Accelerometer",Yes,7,"Coarse, Semantic",No,Yes,No,No,Low,Low,High (N=1),N/A,No,No,No,No,No,Yes (N=1),No,Sitting,Lab,Headphone,Research Prototype,Yes,No,"FreeDigiter uses hand gesture recognition to control mobile devices. In contrast to many existing gesture recognition systems, data analysis is simple, requiring the filtering of the binary output of a proximity sensor. This simplicity allows for small and inexpensive hardware with low power consumption and high wearability.",,"Music Player, Phone Calls, Accessibility, Device Control",N/A,"We present FreeDigiter, an interface for mobile devices which enables rapid entry of digits using finger gestures. FreeDigiter is an infrared proximity sensor with a dual axis accelerometer and requires little signal processing. Initial laboratory experiments attain accuracy rates of 99.0%; and the system is tolerant to highly varying lighting conditions. The FreeDigiter system requires little power and could be implemented in a very small form factor appropriate for controlling in–ear hearing aids, small MP3 players, and hands–free mobile phone headsets.",3,https://ieeexplore.ieee.org/document/1364684,DONE,,,"Selection, Path, Quantification",2,coarse,relative,7,Yes,Yes,X,Not Present,Not Indicated,Low (Derived),Not Indicated,Present,32%
[40],Buil & Hollemans,2005,Ear and Earable,In,Hand,Press (Earable),Button,Yes,3,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,Yes,Yes,Assess the users accepted operating force for button pushes at the headphones,Improving Usability and Ergonomics,Music Player,N/A,"The touch headphones are a solution for providing playback and volume controls on in-ear type headphones.  One of the issues with placing controls on earpieces is that applied pressure is transferred to the inner ear,  which potentially creates discomfort. The experiment described in this short paper shows that conventional button switches  are not well accepted. Users preferred to operate a button on an earpiece with a force of around 85 grams.",4,https://ieeexplore.ieee.org/abstract/document/1550805,DONE,,,"Selection, Position",X,X,X,3,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,41%
[84],Buil et al.,2005,Ear and Earable,In,"Hand, Wearable State","Tap (Earable), Hold (Earable), Remove Earbud, Attach Earbud",Capacitive Sensor,Yes,5,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Earbud,Research Prototype,Yes,No,Replace remote control in the headphone wire,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices","Music Player, Device Control","MP3, Music Playback, headphones, capacitive touch control, user system interaction, user interface","The Touch Headphones are meant for portable music players and aim to present an improvement to the conventional remote control in the headphone wire, and a solution for controls on wireless in-ear type headphones. Two capacitive touch sensors per earpiece sense when earpieces are being tapped on, and being put in or out.",5,https://dl.acm.org/doi/abs/10.1145/1085777.1085877,DONE,,,Selection,X,X,X,5,Yes,No,Coupled,Partly Present,Not Indicated,Not Indicated,Not Indicated,Present,35%
[61],Manabe & Fukumoto,2006,Eye-Tracking,In,Eye,"Horizontal Gaze, Vertical Gaze",EOG,Yes,2,Coarse,Yes,No,No,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=6),Sitting,Lab,Headphone,Research Prototype,No,No,"A headphone-type gaze detector for a full-time  wearable interface is proposed.; Our goal is a full-time wearable gaze detector that does  not obscure the user’s view, has wide measurement  range, and of course is cosmetically acceptable. Our  idea is a headphone-type EOG-based gaze detector.",,"Music Player, Device Control, AR/VR","Gaze interface, EOG, wearable, headphone, Kalman  filter","A headphone-type gaze detector for a full-time  wearable interface is proposed. It uses a Kalman filter  to analyze multiple channels of EOG signals measured  at the locations of headphone cushions to estimate  gaze direction. Evaluations show that the average  estimation error is 4.4° (horizontal) and 8.3° (vertical),  and that the drift is suppressed to the same level as in  ordinary EOG. The method is especially robust against  signal anomalies. Selecting a real object from among  many surrounding ones is one possible application of  this headphone gaze detector.",6,https://dl.acm.org/doi/abs/10.1145/1125451.1125655,DONE,,,"Selection, Position",2,coarse (15),absolute,,Yes,No,,,,,,,
[623],Simpson et al.,2008,Mouth,In,Teeth,Click,Accelerometer,Yes,1,Semantic,Yes,Yes,Yes,No,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,"Here, we tested a new method in which small tooth-clicks were detected by an accelerometer contacting the side of the head. The resulting signals were paired with head tracking technology to provide combined cursor and button control.; The goal of this paper was to determine to what extent small tooth-clicks that could be produced by persons with severe upper extremity paralysis could be used as control signals for enabling computer access.",,"Accessibility, Device Control","Assistive technology, computer interfaces, spinal cord injury, tooth-click","People with severe upper limb paralysis use devices that monitor head movements to control computer cursors. The three most common methods for producing mouse button clicks are dwell-time, sip-and-puff control, and voice-recognition. Here, we tested a new method in which small tooth-clicks were detected by an accelerometer contacting the side of the head. The resulting signals were paired with head tracking technology to provide combined cursor and button control. This system was compared with sip-andpuff control and dwell-time selection. A group of 17 people with disabilities and ten people without disabilities tested each system by producing mouse clicks as inputs to two software programs. Tooth-click/head-mouse control was much faster than dwell-time control and not quite as fast as sip-and-puff control, but it was more reliable and less cumbersome than the latter.",7,https://ieeexplore.ieee.org/document/4473368,DONE,,,Selection,X,X,relative,,Yes,No,,,,,,,
[184],Tamaki et al.,2009,Hand Gestures and Location,Enabling,Hand,"Hold (Mid-Air), Tilt (Mid-Air), Close (Mid-Air), Open (Mid-Air), Point (Mid-Air)","Camera, Laser, Projector",Yes,4,"Semantic, Fine",No,Visual Attention,Yes,No,Low,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=1),Standing,Lab,Earbud,Research Prototype,Yes,No,"Existing wearable hand gesture interaction devices are very bulky and cannot be worn in everyday life, because of the presence of a large visual feedback device.;  Although wearable hand gesture interaction devices have to be not only lightweight but also compact and inconspicuous, existing wearable hand gesture interaction devices are very bulky and cannot be worn in everyday life, because of the presence of visual feedback devices such as a head-mounted display.; We propose a small device; Brainy Hand which avoids the use of a display.",,"Music Player, Phone Calls, Device Input, Device Control","interaction device, input device, wearable, hand gesture, laser, audio feedback, projector","Existing wearable hand gesture interaction devices are very bulky and cannot be worn in everyday life, because of the presence of a large visual feedback device. In particular, an eyeglass-type head-mounted display is very large for constant usage. To solve this problem, we propose Brainy Hand, which is a simple wearable device that adopts laser line, or more specifically, a mini-projector as a visual feedback device. Brainy Hand consists of a color camera, an earphone, and a laser line or mini-projector. This device uses a camera to detect 3D hand gestures. The earphone is used for receiving audio feedback. In this study, we introduce several user interfaces using Brainy Hand. (e.g., music player, phone)",8,https://dl.acm.org/doi/abs/10.1145/1520340.1520649?casa_token=6gSF3eNSnpoAAAAA:CQWgiFfxP5gooWAqsVc4zg96VRrgY5i6-nh85Ta7eNyBjDuutYUhqRo5eGOiDyhDejo3WqiH2xrvHw,DONE,,,,,,,,,,,,,,,,
[624],Simpson et al.,2010,Mouth,In,Teeth,Click,Accelerometer,Yes,1,Semantic,Yes,Yes,Yes,No,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,The field of study aimed at providing computer access for individuals with disabilities is as old as the personal computer itself.1,,"Accessibility, Device Control","assistive technology, computer access, spinal cord injury, tetraplegia","Background. Computer access can play an important role in employment and leisure activities following spinal cord injury. The authors’ prior work has shown that a tooth-click detecting device, when paired with an optical head mouse, may be used by people with tetraplegia for controlling cursor movement and mouse button clicks. Objective. To compare the efficacy of tooth clicks to speech recognition and that of an optical head mouse to a gyrometer head mouse for cursor and mouse button control of a computer. Methods. Six able-bodied and 3 tetraplegic subjects used the devices listed above to produce cursor movements and mouse clicks in response to a series of prompts displayed on a computer.The time taken to move to and click on each target was recorded. Results. The use of tooth clicks in combination with either an optical head mouse or a gyrometer head mouse can provide hands-free cursor movement and mouse button control at a speed of up to 22% of that of a standard mouse.Tooth clicks were significantly faster at generating mouse button clicks than speech recognition when paired with either type of head mouse device. Conclusions. Tooth-click detection performed better than speech recognition when paired with both the optical head mouse and the gyrometer head mouse. Such a system may improve computer access for people with tetraplegia.",9,https://journals.sagepub.com/doi/10.1177/1545968309341647,DONE,,,,,,,,,,,,,,,,
[253],Gamper et al.,2011,Head Gestures and Pointing,Enabling,Head,Yaw,Microphone,Yes,1,Fine,Yes,Yes,No,No,Low,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=3),Sitting,Lab,Headphone,Commercial,No,No,"To produce realistic auditory augmentation, knowledge about the head orientation of the user is often necessary. Conventional head tracking systems use e.g. cameras to track visibly distinct markers or inertial sensors to detect head movements.",,"Video Conference, AR/VR, Motion Tracking",N/A,"A head orientation tracking system using binaural headset microphones is proposed. Unlike previous approaches, the proposed method does not require anchor sources, but relies on speech signals of the wearers of the binaural headsets. From the binaural microphone signals, time of arrival (TOA) and time difference of arrival (TDOA) estimates are obtained. The tracking is performed using a particle filter integrated with a maximum likelihood estimation function. In a case study, the proposed method is used to track the head orientations of three conferees in a meeting scenario. With an accuracy of about 10 degrees, the proposed method is shown to outperform a reference method which achieves an accuracy of about 35 degrees.",10,https://hannesgamper.com/wp-content/papercite-data/pdf/gamper2011b.pdf,DONE,,,,,,,,,,,,,,,,
