Column,Explanation
ID,Unique Identifier for each study.
Main Author,"The main author of the paper, written as in an in-text citation."
Year,Publication year of the study.
Location,The specific location(s) on the body where the interactions with the earable device occur.
Input Body Part,The part(s) of the body used to elicit the interactions with the earable device.
Gesture,"The specific gesture(s), movement(s), or action(s) the user must perform to initiate interactions with the earable device. Gestures only present in elicitation studies are not considered."
Interaction_PANEL_Number of Selected Gestures,"The number of gestures selected for interaction. Gestures only present in elicitation studies are not counted. If the same gesture can be performed on different ears, it is only counted once. None-type-gestures are not considered."
Interaction_PANEL_Resolution,"Whether interactions involve a single distinct input (Semantic) or are continuous, with distinct steps (Coarse) or subtle, unnoticeable steps (Fine)."
Interaction_PANEL_Hands-Free,Whether the hands play an active role in the interactions with the earable.
Interaction_PANEL_Eyes-Free,"Whether the eyes play an active role in the interactions with the earable (e.g., gaze direction). Visual Attention may be necessary without an active interaction role of the eyes."
Interaction_PANEL_Possible on One Ear,Whether the interaction detection presented in the study is (also) possible using an earable that covers only one ear.
Interaction_PANEL_Adaptation of the Interaction Detection Algorithm to User,Whether it has been demonstrated that the interaction detection algorithm can be adapted or fine-tuned to an individual user.
Interaction_PANEL_Accuracy of Interaction Detection (User-Dependent),"The system's ability to accurately detect and interpret interactions when evaluated on users included in the training data (e.g., personalized or within-subject evaluation), considering only the most basic reported condition and setting (e.g., sitting in a lab) for consistency. Only applies to studies reporting accuracies."
Interaction_PANEL_Accuracy of Interaction Detection (User-Independent),"The system's ability to accurately detect and interpret interactions when evaluated on users not included in the training data (e.g., cross-user or leave-one-subject-out validation), considering only the most basic reported condition and setting (e.g., sitting in a lab) for consistency. Only applies to studies reporting accuracies."
Interaction_PANEL_F1-Score of Interaction Detection (User-Dependent),"The system's ability to accurately detect and interpret interactions when evaluated on users included in the training data (e.g., personalized or within-subject evaluation), considering only the most basic reported condition and setting (e.g., sitting in a lab) for consistency. Only applies to studies reporting F1-Scores."
Interaction_PANEL_F1-Score of Interaction Detection (User-Independent),"The system's ability to accurately detect and interpret interactions when evaluated on users not included in the training data (e.g., cross-user or leave-one-subject-out validation), considering only the most basic reported condition and setting (e.g., sitting in a lab) for consistency. Only applies to studies reporting F1-Scores."
Sensing_PANEL_Sensors,"The specific sensor(s) the earable needs to enable (e.g., speaker for ultrasound) and/or recognize (e.g., a microphone) the interactions. Only sensors that are part of the earable."
Sensing_PANEL_No Additional Sensing,"No additional devices like smartphones, rings etc. are needed for sensing the interaction presented in the study."
Study_PANEL_Elicitation Study,An elicitation study on interaction with earables has been performed.
Study_PANEL_Usability Evaluations,Whether the usability of the interactions was assessed.
Study_PANEL_Cognitive Load Evaluations,Whether the cognitive load of the interactions was assessed.
Study_PANEL_Social Acceptability of Interactions Evaluations,Whether the social acceptability of the interactions was assessed.
Study_PANEL_Evaluation of Settings,"The settings the interactions were evaluated in (e.g., Lab, Cafe)."
Study_PANEL_Evaluation of User-Related Conditions,"The user-related conditions the interactions were evaluated in (e.g., Standing, Walking)."
Study_PANEL_Evaluation of Environment-Related Conditions,"The environment-related conditions the interactions were evaluated in (e.g., Music, Noise). Only deliberately induced environmental conditions not inherently part of the setting are listed, to avoid redundancy."
Study_PANEL_Evaluation of Device-Related Conditions,"The device-related conditions the interactions were evaluated with (e.g., Wearing Styles, Eartip Size)."
Device_PANEL_Earphone Type,The specific type of earphone used in the study. Adds Adapted in case devices were modified.
Device_PANEL_Development Stage,Whether a commercial earable was used or a research prototype.
Device_PANEL_Device Model,"The exact earable model, if specified."
Device_PANEL_Real-Time Processing,The system is demonstrated to be able to immediately detect and respond to a user's performed interaction.
Device_PANEL_On-Device Processing,"Excluding initial training, interaction detection occurs solely on the earable itself, without external device support. Only processing directly on the device attached in, on, or the immediate vicinity of the ear qualifies, excluding smartphones or connected microcomputers."
Motivations_PANEL_Motivations,The motivations the authors explicitly outline for their study on interaction with earables. Only six core motivations recurring across studies were extracted to keep the coding scheme concise and consistent.
Applications_PANEL_Intended Applications,The applications the authors explicitly suggest for their proposed interaction with earables.
Keywords,The keywords selected by the authors.
Abstract,A brief summary of the study.
Study Link,Link to the study.
Title,The title of the study.
Authors,The authors of the study.
